word,type,cefr,definition,example,Synonyms,Antonyms,Rhymes,Related
hate,noun,b1,a very strong feeling of dislike for somebody ,She gave him a look of real hate.,"hatred, detest, odium, hateful, loathing",love,"state, rate, date, plate, advocate","crimes, hatred, crime, speech, myself"
hate,verb,a1,to dislike somebody/something very much,"hate somebody/yourself, The two boys hated each other.","hatred, detest, odium, hateful, loathing",love,"state, rate, date, plate, advocate","crimes, hatred, crime, speech, myself"
have,verb,a1,"to own, hold or possess something",He had a new car and a boat.,"have got, accept, need, must, receive","miss, refrain, decline, lack, refuse","calve, halve, nav, flav-, yahveh",
have,auxiliary verb,a2,used with the past participle to form perfect tenses,I've finished my work.,"have got, accept, need, must, receive","miss, refrain, decline, lack, refuse","calve, halve, nav, flav-, yahveh",
have to,modal verb,a1,used to show that you must do something,"Sorry, I've got to go.","need, must, have got, require, necessitate",,,
he,pronoun,a1,a male person or animal that has already been mentioned or is easily identified,Everyone liked my father—he was the perfect gentleman.,"helium, atomic number 2, knows, did, was",,"tree, be, sea, key, see",
head,noun,a1,"the part of the body on top of the neck containing the eyes, nose, mouth and brain",She nodded her head in agreement.,"caput, arch, top, oral sex, headspring","foot, rear","read, lead, red, bed, spread","coach, thorax, compiling, abdomen, coaching"
head,verb,b1,to move in a particular direction,Where are we heading?,"caput, arch, top, oral sex, headspring","foot, rear","read, lead, red, bed, spread","coach, thorax, compiling, abdomen, coaching"
headache,noun,a2,a continuous pain in the head,He had a terrible headache.,"cephalalgia, worry, vexation, concern, head ache",,"awake, break, take, cake, make","myalgia, dizziness, migraine, photophobia, nausea"
headline,noun,b1,"the title of a news article printed in large letters, especially at the top of the front page on a newspaper or the home page on a news website",a newspaper headline,"newspaper headline, news, heading, caption, header",,"line, design, sign, pine, fein","cnn, headlines, gig, slots, slot"
health,noun,a1,the condition of a person’s body or mind,to be good/bad for your health,"wellness, sound, healthy, healthful, wholesome",,"wealth, stealth, commonwealth, british commonwealth, hoarded wealth","wellness, care, healthcare, insurance, nutrition"
healthy,adjective,a1,having good health and not likely to become ill,a healthy child/baby/adult,"hale, sound, wholesome, salubrious, hearty","unfit, unhealthy","wealthy, stealthy, unhealthy, commonwealth he, health e","unhealthy, eating, lifestyle, adolescents, diet"
hear,verb,a1,to be aware of sounds with your ears,I can't hear very well.,"listen, get wind, learn, take heed, discover",,"ear, tier, here, weir, bier","appeals, voices, hears, sounds, sing"
hearing,noun,b2,the ability to hear,Her hearing is poor.,"listening, audition, audience, earshot, earreach",,"endearing, peering, disappearing, jeering, fleering","cochlear, deafness, deaf, impairment, impaired"
heart,noun,a2,"the organ in the chest that sends blood around the body, usually on the left in humans",The patient's heart stopped beating for a few seconds.,"nerve, marrow, eye, nub, pith",,"art, smart, start, part, apart","ventricular, transplant, coronary, cardiac, lungs"
heat,noun,a2,the quality of being hot,Heat rises.,"ignite, heat up, hot up, inflame, fire up","cold, cool, chill, coldness, anestrus","beat, browbeat, discrete, meet, eat","exchanger, dissipation, conduction, semifinal, fastest"
heat,verb,a2,to make something hot or warm; to become hot or warm,"heat (something), Heat the oil and add the onions.","ignite, heat up, hot up, inflame, fire up","cold, cool, chill, coldness, anestrus","beat, browbeat, discrete, meet, eat","exchanger, dissipation, conduction, semifinal, fastest"
heating,noun,b1,the process of supplying heat to a room or building; a system used to do this,to put/turn the heating on,"calefactory, calefactive, hot, warming, heating plant",,"meeting, fleeting, greeting, competing, beating","hvac, cooling, ventilation, conditioning, pellet"
heaven,noun,b2,"the place believed to be the home of God where good people go when they die, sometimes imagined to be in the sky",the kingdom of heaven,"shangri-la, paradise, nirvana, promised land, eden","perdition, hell, inferno, nether region, infernal region","seven, leaven, levin, eleven, devon","hell, purgatory, heavens, heavenly, afterlife"
heavily,adverb,b1,to a great degree; in large amounts,It was raining heavily.,"heavy, hard, intemperately, to a great extent, massively",lightly,"levelly, devil he, levalley, level e, level he","degraded, forested, indebted, influenced, outnumbered"
heavy,adjective,a2,weighing a lot; difficult to lift or move,a heavy weight/load,"weighty, heavily, hefty, ponderous, heavyweight",light,"levy, levee, bevy, chevy, bevvy","rains, snowfall, rainfall, casualties, metal"
heel,noun,b2,the back part of the foot below the ankle,"Apply the cream to dry, cracked heels before bed.","reheel, bounder, hound, blackguard, counter",,"deal, seal, appeal, wheel, feel","forefoot, plantar, toe, gimmick, achilles"
height,noun,a2,the measurement of how tall a person or thing is,Height: 210 mm. Width: 57 mm. Length: 170 mm.,"pinnacle, top, peak, stature, acme",,"light, bite, right, white, insight","supercharged, draught, tallest, width, inflorescence"
helicopter,noun,b1,an aircraft without wings that has large blades (= long flat parts) on top that go round. It can fly straight up from the ground and can also stay in one position in the air.,a police/rescue helicopter,"whirlybird, chopper, eggbeater, aircraft, airplane",,"adopter, adopt her, chopped her, cropped her, dropped her","gunship, heliport, rotor, mil, hangar"
hell,noun,b2,the place believed to be the home of devils and where bad people go after death,He was terrified of going to hell when he died.,"netherworld, nether region, underworld, inferno, perdition",heaven,"cell, well, dwell, spell, shell","purgatory, lucifer, satan, damned, demons"
hello,exclamation,a1,"used as a greeting when you meet somebody, in an email, when you answer the phone or when you want to attract somebody’s attention","Hello John, how are you?","hi, how-do-you-do, howdy, hullo, afternoon",,"go, blow, show, know, forego","dolly, kitty, goodbye, cute, nasty"
hello,noun,a1,"used as a greeting when you meet somebody, in an email, when you answer the phone or when you want to attract somebody’s attention","Hello John, how are you?","hi, how-do-you-do, howdy, hullo, afternoon",,"go, blow, show, know, forego","dolly, kitty, goodbye, cute, nasty"
help,noun,a1,the act of helping somebody to do something,Thank you for all your help.,"aid, service, assistance, assist, helper",,"skelp, whelp, yelp, kelp, welp","solve, understand, recover, improve, prepare"
help,verb,a1,to make it easier or possible for somebody to do something by doing something for them or by giving them something that they need,What can I do to help?,"aid, service, assistance, assist, helper",,"skelp, whelp, yelp, kelp, welp","solve, understand, recover, improve, prepare"
helpful,adjective,a2,able to improve a particular situation,helpful advice/information,"facilitatory, accommodating, adjuvant, facilitative, utile",unhelpful,"unhelpful, help fill","determining, diagnosis, harmful, treating, advice"
her,determiner,a1,of or belonging to a woman or girl who has already been mentioned or is easily identified,Meg loves her job.,"girl, him, daughter, son, sound",,"defer, confer, infer, entrepreneur, concur",
her,pronoun,a1,"used as the object of a verb, after the verb be or after a preposition to refer to a woman or girl who has already been mentioned or is easily identified",We're going to call her Sophie.,"girl, him, daughter, son, sound",,"defer, confer, infer, entrepreneur, concur",
here,adverb,a1,"used after a verb or preposition to mean ‘in, at or to this position or place’",I live here.,"present, hither, hera, there, therein","there, thither, at that place, in that location","ear, hear, tier, weir, bier",comes
hero,noun,a2,a person who is admired by many people for doing something brave or good,a war hero (= somebody who was very brave during a war),"champion, paladin, fighter, poor boy, hoagy",,"zero, nero, superhero, biro, subzero","smo, heroine, lenin, villain, honda"
hers,pronoun,a2,of or belonging to her,His eyes met hers.,"milady, she, theirs, yours, sylphlike",,"years, yours, spurs, ers, entrepreneurs","theirs, herself, dies, asks, tells"
herself,pronoun,a2,used when the woman or girl who performs an action is also affected by it,She hurt herself.,"actual, himself, ise, maga, oneself",,"oneself, shelf, self, elf, yourself","pregnant, lover, asks, husband, feelings"
hesitate,verb,b2,to be slow to speak or act because you feel uncertain or nervous,She hesitated before replying.,"waver, pause, vacillate, falter, shy",,"state, rate, date, plate, advocate","criticize, punish, recommend, bite, declare"
hey,exclamation,a1,"used to attract somebody’s attention or to express interest, surprise or anger","Hey, can I just ask you something?","drummer, doh, say, heil, salute",,"day, away, way, lay, play","diddle, jude, champ, delilah, rosetta"
hi,exclamation,a1,used to say hello,Hi guys!,"howdy, hullo, hello, how-do-you-do, rba",,"lie, i, by, fly, eye",
hide,verb,a2,to put or keep somebody/something in a place where they/it cannot be seen or found,"hide somebody/something + adv./prep., He hid the letter in a drawer.","hide out, obliterate, blot out, conceal, shroud",show,"backslide, abide, side, provide, ride","glue, closet, hides, seek, hiding"
high,adjective,a1,measuring a long distance from the bottom to the top,What's the highest mountain in the US?,"towering, high-level, altitudinous, upper, lofty","low, middle, low-pitched, low spirits","lie, i, by, fly, eye","school, grades, sheriff, mascot, enrollment"
high,adverb,a2,at or to a position or level that is a long way up from the ground or from the bottom,to climb/jump/leap high,"towering, high-level, altitudinous, upper, lofty","low, middle, low-pitched, low spirits","lie, i, by, fly, eye","school, grades, sheriff, mascot, enrollment"
high,noun,b2,the highest level or number,to hit/reach a high,"towering, high-level, altitudinous, upper, lofty","low, middle, low-pitched, low spirits","lie, i, by, fly, eye","school, grades, sheriff, mascot, enrollment"
highlight,noun,b1,"the best, most interesting or most exciting part of something",One of the highlights of the trip was seeing the Taj Mahal.,"foreground, spotlight, play up, high spot, underlining","background, play down","light, bite, right, white, insight","assessed, reel, plight, occurring, categories"
highlight,verb,b1,"to emphasize something, especially so that people give it more attention",The report highlighted the importance of exercise to maintain a healthy body.,"foreground, spotlight, play up, high spot, underlining","background, play down","light, bite, right, white, insight","assessed, reel, plight, occurring, categories"
highly,adverb,b1,very,It is highly unlikely that she'll be late.,"extremely, eminently, considerably, well, major",,"wily, wiley, riley, wryly, smiley","prized, publicized, esteemed, conserved, touted"
hill,noun,a2,"an area of land that is higher than the land around it, but not as high as a mountain",a region of gently rolling hills,"mound, colline, mont, mount, heights",,"bill, will, mill, still, drill","overlooking, climb, cemetery, unincorporated, neighborhood"
him,pronoun,a1,"used as the object of a verb, after the verb be or after a preposition to refer to a male person or animal that has already been mentioned or is easily identified",When did you see him?,"man, her, boy, she, guy",,"synonym, swim, grim, trim, whim",
himself,pronoun,a2,used when the man or boy who performs an action is also affected by it,He introduced himself.,"are, been, face-to-face, her, herself",,"oneself, shelf, self, elf, yourself",
hire,noun,b2,the act of paying to use something for a short time,a hire car,"employ, employment, charter, rent, lease","fire, can, sack, dismiss, terminate","fire, wire, inspire, dire, acquire","mercenaries, taxis, hiring, taxi, rental"
hire,verb,b1,to give somebody a job,She was hired three years ago.,"employ, employment, charter, rent, lease","fire, can, sack, dismiss, terminate","fire, wire, inspire, dire, acquire","mercenaries, taxis, hiring, taxi, rental"
his,determiner,a1,of or belonging to a man or boy who has already been mentioned or is easily identified,James has sold his car.,"howdy, hullo, hello, how-do-you-do, ess",,"is, riz, ms, quiz, does",
his,pronoun,a2,of or belonging to him,He took my hand in his.,"howdy, hullo, hello, how-do-you-do, ess",,"is, riz, ms, quiz, does",
historic,adjective,b1,important in history; likely to be thought of as important at some time in the future,the restoration of historic buildings,"important, historical, past, of import, epochal",,"euphoric, doric, prehistoric, meteoric, caloric","places, encompasses, landmark, contributing, landmarks"
historical,adjective,b1,connected with the past,You must place these events in their historical context.,"diachronic, historic, existent, past, real","descriptive, synchronic","oracle, rhetorical, auricle, categorical, allegorical","marker, monuments, significance, landmarks, landmark"
history,noun,a1,all the events that happened in the past,"in history, The battle was a turning point in human history.","chronicle, story, account, historiography, historical",,"mystery, mistry, protohistory, history e, list tree","pomerania, geography, philosophy, museum"
hit,noun,a2,an act of hitting somebody/something with your hand or with an object held in your hand,Give it a good hit.,"smash, bang, striking, bump, collision",miss,"it, fit, shit, bit, split","rbi, peaking, inning, billboard, charts"
hit,verb,a2,"to bring your hand, or an object you are holding, against somebody/something quickly and with force","hit somebody/something, I was afraid he was going to hit me.","smash, bang, striking, bump, collision",miss,"it, fit, shit, bit, split","rbi, peaking, inning, billboard, charts"
hobby,noun,a1,an activity that you do for pleasure when you are not working,Do you have any hobbies?,"avocation, sideline, rocking horse, hobbyhorse, cockhorse",,"cobby, lobby, kohlrabi, bobby, dobby","falco, lobby, hobbies, enthusiasts, kits"
hockey,noun,a2,"a game played on a field by two teams of 11 players, with curved sticks and a small hard ball. Teams try to hit the ball into the other team’s goal.",to play hockey,"field hockey, ice hockey, hockey game, football, sport",,"cocky, khaki, jockey, saki, rocky","oha, wha, goaltender, nhl, leafs"
hold,noun,b2,the action of holding somebody/something; the way you are holding somebody/something,"hold on somebody/something, His hold on her arm tightened.","take hold, grasp, grip, clutches, take","release, let go, let go of","gold, threshold, cold, mold, bold","accountable, marginal, referendum, speedway, positions"
hold,verb,a2,"to have somebody/something in your hand, arms, etc.","hold somebody/something, She was holding a large box.","take hold, grasp, grip, clutches, take","release, let go, let go of","gold, threshold, cold, mold, bold","accountable, marginal, referendum, speedway, positions"
hole,noun,a2,a hollow space in something solid or in the surface of something,He dug a deep hole in the garden.,"hollow, trap, fix, jam, pickle",,"control, roll, troll, pole, console","putt, birdie, tee, par, holes"
holiday,noun,a1,a period of time when you are not at work or school,the school/summer/Christmas holidays,"vacation, christmas, weekend, fiesta, noël",,"day, away, way, lay, play","inn, holidays, thanksgiving, christmas, resorts"
hollow,adjective,b2,having a hole or empty space inside,a hollow ball/centre/tube/tree,"sunken, cavernous, dig, hole, hollow out",solid,"follow, swallow, wallow, apollo, rollo","sleepy, cavity, logs, needle, tile"
holy,adjective,b2,connected with God or a particular religion,the Holy Bible,"hallowed, sanctified, sacred, blessed, sanctum","unholy, unhallowed","wholly, lowly, ollie, guacamole, coli","sepulchre, grail, redeemer, rosary, trinity"
home,adjective,a2,connected with the place where you live,home life (= with your family),"domicile, habitation, domestic, dwelling, nursing home",,"syndrome, gloam, comb, tome, dome","rbi, runs, bats, stadium, batting"
home,adverb,a1,to or at the place where you live,"Come on, it's time to go home.","domicile, habitation, domestic, dwelling, nursing home",,"syndrome, gloam, comb, tome, dome","rbi, runs, bats, stadium, batting"
home,noun,a1,"the house or flat that you live in, especially with your family",Old people prefer to stay in their own homes.,"domicile, habitation, domestic, dwelling, nursing home",,"syndrome, gloam, comb, tome, dome","rbi, runs, bats, stadium, batting"
homework,noun,a1,work that is given by teachers for students to do at home,I always do my homework on the bus.,"preparation, prep, schoolwork, work, lesson",,"work, network, jerk, framework, perk","schoolwork, daft, cbt, quizzes, tutoring"
honest,adjective,b1,"always telling the truth, and never stealing or cheating",an honest man/woman,"sincere, truthful, veracious, trusty, trustworthy","dishonest, dishonorable","dishonest, faunist, pianist, wannest","dishonest, sincere, honesty, broker, straightforward"
honour,noun,b2,great respect for somebody,the guest of honour (= the most important one),"award, honor, favor, respect, observe","shame, disgrace, disrespect, attaint, dishonor","honor, doner, conner, goner, bonner","shri, bestowed, conferred, knight, honoured"
honour,verb,b2,to do something that shows great respect for somebody/something,"honour somebody/something, our honoured guests","award, honor, favor, respect, observe","shame, disgrace, disrespect, attaint, dishonor","honor, doner, conner, goner, bonner","shri, bestowed, conferred, knight, honoured"
hope,noun,a2,a feeling of wanting and expecting a particular thing to happen; something that you wish for,Don't lose hope—we'll find her.,"desire, trust, promise, go for, intend",despair,"trope, scope, dope, cope, envelope","glory, charity, finding, faith, cape"
hope,verb,a1,to want something to happen and think that it is possible,All we can do now is wait and hope.,"desire, trust, promise, go for, intend",despair,"trope, scope, dope, cope, envelope","glory, charity, finding, faith, cape"
horrible,adjective,b1,very bad or unpleasant; used to describe something that you do not like,What horrible weather!,"horrifying, atrocious, alarming, frightful, ugly",,"deplorable, adorable, borable, corabelle, orabelle","deary, bosses, awful, atrocities, nightmare"
horror,noun,b1,a feeling of great shock or fear,The thought of being left alone filled her with horror.,"repugnance, revulsion, repulsion, terror, fear",,"explorer, borer, scorer, restorer, storer","treehouse, slasher, frankenstein, bram, suspense"
horse,noun,a1,"a large animal with four legs, a mane (= long thick hair on its neck) and a tail. Horses are used for riding on, pulling carriages, etc.",to ride a horse,"sawhorse, sawbuck, smack, cavalry, shit",,"force, course, source, endorse, coarse","racehorse, thoroughbred, sired, bred, sire"
hospital,noun,a1,a large building where people who are ill or injured are given medical treatment and care,"to/into (the) hospital, (British English), He had to go to/into hospital for treatment.","infirmary, clinical, clinic, hospitalization, inpatient",,"little, brittle, belittle, whittle, tittle","inpatient, outpatient, beds, maternity, pediatric"
host,noun,b1,"a person who invites guests to a meal, a party, etc. or who has people staying at their house","Ian, our host, introduced us to the other guests.","master of ceremonies, emcee, horde, legion, server",parasite,"post, coast, roast, ghost, toast","parasite, replication, stranded, viral, rna"
host,verb,b2,to organize an event to which others are invited and make all the arrangements for them,to host an event/a conference/a meeting,"master of ceremonies, emcee, horde, legion, server",parasite,"post, coast, roast, ghost, toast","parasite, replication, stranded, viral, rna"
hot,adjective,a1,having a high temperature; producing heat,"It's hot today, isn't it?","calefacient, scorching, baking hot, torrid, red-hot","cold, cool","lot, shot, trot, spot, thought","humid, chili, tub, chart, airplay"
hotel,noun,a1,"a building where people stay, usually for a short time, paying for their rooms and meals","a two-star/five-star, etc. hotel","villa, guesthouse, inn, motel, lodge",,"cell, well, dwell, spell, shell","sheraton, hotels, suites, casino, marriott"
hour,noun,a1,60 minutes; one of the 24 parts that a day is divided into,I spent an hour on the phone.,"minute, time of day, hr, 60 minutes, half-hour",,"power, flower, empower, tower, dour","hourly, newscast, weekday, minutes, endurance"
house,noun,a1,"a building for people to live in, usually for one family","in a house, We live in a two-bedroom house.","mansion, home, household, put up, firm",,"mouse, espouse, louse, grouse, rouse","commons, representatives, lords, historic, barn"
house,verb,b2,to provide a place for a person or an animal to live,The government is committed to housing the refugees.,"mansion, home, household, put up, firm",,"mouse, espouse, louse, grouse, rouse",
household,noun,b2,all the people living together in a house or flat,Most households now own at least one car.,"family, domestic, home, menage, house",,"hold, gold, threshold, cold, mold","median, versus, income, size, spread"
housing,noun,b2,"houses, flats, etc. that people live in, especially when referring to their type, price or condition",rental/student housing,"lodging, trapping, caparison, dwelling, room",,,"makeup, racial, density, hud, units"
how,adverb,a1,in what way or manner,How does it work?,"however, often, then, could, very",,"sow, bow, now, cow, allow","react, affects, interact, affect, respond"
however,adverb,a1,used to introduce a statement that contrasts with something that has just been said,"He was feeling bad. He went to work, however, and tried to concentrate.","nevertheless, nonetheless, notwithstanding, even so, withal",,"endeavor, endeavour, ever, clever, lever",
huge,adjective,a2,extremely large in size or amount; great in degree,The sums of money involved are potentially huge.,"big, immense, vast, large, colossal",,"subterfuge, stooge, luge, scrooge, centrifuge","crowds, success, fan, quantities, profits"
human,adjective,a2,"of or connected with people rather than animals, machines or gods",the human body/brain,"human being, hominid, hominine, anthropoid, anthropomorphic",nonhuman,"acumen, lumen, albumin, cumin, numen","habitation, abuses, trafficking, rights, genome"
human,noun,a2,a person rather than an animal or a machine,Dogs can hear much better than humans.,"human being, hominid, hominine, anthropoid, anthropomorphic",nonhuman,"acumen, lumen, albumin, cumin, numen","habitation, abuses, trafficking, rights, genome"
humorous,adjective,b2,funny; showing a sense of humour,He gave a humorous account of their trip to Spain.,"funny, amusing, jocular, jocose, facetious","humorless, unhumorous","numerous, humerus, humourous, tumorous, rumorous","anecdotes, satirical, ironic, parodies, satire"
humour,noun,b2,the quality in something that makes it funny; the ability to laugh at things that are funny,It was a story full of gentle humour.,"sense of humour, sense of humor, humor, witticism, wittiness",,"humor, tumor, consumer, zoomer, boomer","pathos, puns, slapstick, satire, irony"
hundred,number,a1,100,One hundred (of the children) have already been placed with foster families.,"centred, c, century, cardinal, a hundred",,"sundered, plundered, wondered, thundered, blundered","thousand, fifty, domesday, eighty, seventy"
hungry,adjective,a1,feeling that you want to eat something,I'm really hungry.,"peckish, famished, esurient, sharp-set, starved",thirsty,,"thirsty, ghosts, burger, caterpillar, jacks"
hunt,noun,b2,an act of looking for somebody/something that is difficult to find,The hunt is on for a suitable candidate.,"hunt down, hound, trace, run, track down",,"front, blunt, upfront, cunt, confront","hurdle, prey, hunting, hunters, racecourse"
hunt,verb,b1,"to go after wild animals in order to catch or kill them for food, sport or to make money",Lions sometimes hunt alone.,"hunt down, hound, trace, run, track down",,"front, blunt, upfront, cunt, confront","hurdle, prey, hunting, hunters, racecourse"
hunting,noun,b2,going after and killing wild animals as a sport or for food,He goes hunting every weekend.,"search, searching, hunter, manhunt, poaching",,"bunting, punting, grunting, stunting, confronting",
hurricane,noun,b1,"a violent storm with very strong winds, especially in the western Atlantic Ocean",A powerful hurricane hit the Florida coast.,"typhoon, cyclone, thunderstorm, tornado, storm",,"vein, train, plane, fein, strain","katrina, landfall, ike, intensification, cyclone"
hurry,noun,b1,the need or wish to get something done quickly,Take your time—there's no hurry.,"hastiness, hurriedness, hasten, haste, speed","delay, detain, hold up","worry, flurry, curry, scurry, slurry","sundown, taff, riches, dreaming, yost"
hurry,verb,b1,to move or act quickly because there is not much time,You'll have to hurry if you want to catch that train.,"hastiness, hurriedness, hasten, haste, speed","delay, detain, hold up","worry, flurry, curry, scurry, slurry","sundown, taff, riches, dreaming, yost"
hurt,adjective,a2,injured physically,None of the passengers were badly hurt.,"harm, ache, injure, damage, trauma",be well,"desert, dessert, revert, assert, alert","locker, feelings, chances, badly, angry"
hurt,noun,b2,a feeling of unhappiness because somebody has been unkind or unfair to you,There was hurt and real anger in her voice.,"harm, ache, injure, damage, trauma",be well,"desert, dessert, revert, assert, alert","locker, feelings, chances, badly, angry"
hurt,verb,a2,to cause physical pain to somebody/yourself; to injure somebody/yourself,"hurt something, He hurt his back playing squash.","harm, ache, injure, damage, trauma",be well,"desert, dessert, revert, assert, alert","locker, feelings, chances, badly, angry"
husband,noun,a1,the man that somebody is married to; a married man,"This is my husband, Steve.","hubby, economize, conserve, economise, married man","blow, waste, wife, squander, married woman",,"someone, households, alone, individuals, householder"
I,pronoun,a1,used as the subject of a verb when the speaker or writer is referring to himself/herself,I think I'd better go now.,"iee, iss, fdi, dfi, eas",,"lie, by, fly, eye, hi",
ice,noun,a1,water that has frozen and become solid,There was ice on the windows.,"frost, water ice, frappe, frosting, ice-skating rink",,"advice, device, nice, concise, suffice","hockey, cream, rink, goaltender, sledge"
ice cream,noun,a1,"a type of sweet frozen food made from milk fat, tasting of fruit, chocolate, etc. and often eaten as a dessert; a small amount of this food intended for one person, often served in a container made of biscuit that is like a cone in shape",Desserts are served with cream or ice cream.,"sundae, popsicle, cream, icing, cake",,,
idea,noun,a1,"a plan, thought or suggestion, especially about what to do in a particular situation",It would be a good idea to call before we leave.,"thought, theme, mind, estimation, approximation",,"stria, panacea, diarrhea, asea, maria","conceived, originated, concept, ideas"
ideal,adjective,a2,perfect; most suitable,an ideal location/place,"perfect, paragon, idealistic, utopian, abstract",,"deal, seal, appeal, wheel, feel","commutative, maximal, quotient, ideals, polynomial"
ideal,noun,b2,"an idea or standard that seems perfect, and worth trying to achieve or obtain",He was accused of betraying his political ideals.,"perfect, paragon, idealistic, utopian, abstract",,"deal, seal, appeal, wheel, feel","commutative, maximal, quotient, ideals, polynomial"
identify,verb,a2,to recognize somebody/something and be able to say who or what they are,"identify somebody/something, She was able to identify her attacker.","describe, name, distinguish, discover, place",,"lie, i, by, fly, eye","bullying, designate, disciplinary, bisexual, screening"
identity,noun,b1,who or what somebody/something is,The police are trying to discover the identity of the killer.,"identicalness, individuality, identity element, indistinguishability, identity operator",,"entity, serenity, amenity, obscenity, nonentity","theft, transgender, passport, matrix, gender"
if,conjunction,a1,"used to say that one thing can, will or might happen or be true, depending on another thing happening or being true","If you see him, give him this note.","then, config, when, -like, about",,"stiff, riff, whiff, sniff, cliff",
ignore,verb,b1,to pay no attention to something,He ignored all the ‘No Smoking’ signs and lit up a cigarette.,"disregard, neglect, cold-shoulder, brush aside, slight","mark, note, know, notice, cognize","for, war, door, store, score","altogether, advice, warning, consequences, instructions"
ill,adjective,a2,suffering from an illness or disease; not feeling well,Her father is seriously ill in St Luke's hospital.,"badly, inauspicious, bad, unpropitious, harmful","good, well","bill, will, mill, still, drill","fated, repute, pneumonia, tuberculosis, fever"
illegal,adjective,b1,not allowed by the law,illegal drugs/firearms/substances,"outlawed, ill-gotten, unlawful, criminal, illicit",legal,"eagle, legal, regal, paralegal, beagle","poaching, gambling, immigrants, dumping, logging"
illness,noun,a2,the state of being physically or mentally ill,The virus can cause illness in humans.,"sickness, malady, sick, malaise, ailment",,stillness,"palsy, blindness, impairment, schizophrenia, cerebral"
illustrate,verb,b2,"to use pictures, photographs, diagrams, etc. in a book, etc.","illustrate something, She illustrated her own books.","instance, exemplify, enlighten, illuminate, clarify",,"state, rate, date, plate, advocate","suppose, consider, concepts, drawings, illustrated"
illustration,noun,b2,"a drawing or picture in a book, magazine, for decoration or to explain something",50 full-colour illustrations,"example, representative, exemplification, instance, image",,"communication, information, operation, education, implication","illustrator, engraving, graphic, poster, illustrated"
image,noun,a2,"a picture, photograph or statue that represents somebody/something", Most simple leaflets will include text and images.,"picture, figure, effigy, simulacrum, double",,"scrimmage, afterimage, line of scrimmage, softimage, transimage","pixel, sensor, viewer, images, lens"
imaginary,adjective,b1,existing only in your mind or imagination,The equator is an imaginary line around the middle of the earth.,"imagined, notional, fanciful, unreal, fantasy",,"dictionary, cherry, arbitrary, contemporary, ancillary","quadratic, impedance, invalid, companions, integers"
imagination,noun,b2,the ability to create pictures in your mind; the part of your mind that does this,a vivid/fertile imagination,"imaginativeness, vision, resourcefulness, imagery, resource",,"communication, information, operation, education, implication","creativity, imaginary, imagine, reality, fantasy"
imagine,verb,a1,to form a picture in your mind of what something might be like,"imagine something, The house was just as she had imagined it.","envisage, ideate, think, guess, suppose",,"vagin, ragin, cragin, hagin, maginn","lennon, ono, yourself, anyone, else"
immediate,adjective,b1,happening or done without delay,an immediate reaction/response,"proximate, present, fast, close, direct",mediate,"intermediate, remediate, media it","vicinity, aftermath, surroundings, postwar, withdrawal"
immediately,adverb,a2,without delay,She answered almost immediately.,"right away, forthwith, instantly, now, at once",,"mediately, immediately e","preceding, afterward, afterwards, adjacent"
immigrant,noun,b1,a person who has come to live permanently in a different country from the one they were born in,"immigrant from…, immigrants from other European countries","émigré, emigration, emigrant, immigration, immigrate",,,"immigrants, assimilation, visa, immigration, absorption"
impact,noun,b1,the powerful effect that something has on somebody/something,a positive/a negative/an adverse impact,"impingement, touch, touch on, encroachment, shock",,"act, abstract, contract, fact, extract","crater, journals, factor, impacts, wrestling"
impact,verb,b1,to have an effect on somebody/something,"impact on/upon somebody/something, Her father's death impacted greatly on her childhood years.","impingement, touch, touch on, encroachment, shock",,"act, abstract, contract, fact, extract","crater, journals, factor, impacts, wrestling"
impatient,adjective,b2,"annoyed by somebody/something, especially because you have to wait for a long time",I'd been waiting for twenty minutes and I was getting impatient.,"restive, raring, eager, short, unforbearing",patient,"patient, inpatient, outpatient, abortifacient","irritable, impulsive, hurry, temper, patience"
imply,verb,b2,"to suggest that something is true or that you feel or think something, without saying so directly","imply (that)…, Are you implying (that) I am wrong?","entail, mean, connote, involve, incriminate",,"lie, i, by, fly, eye","causation, conjecture, implies, theorem, necessarily"
import,noun,b1,a product or service that is brought into one country from another,"import from…, food imports from abroad","consequence, signification, significance, implication, meaning","export, inconsequence","support, court, short, report, port","export, tariffs, substitution, quotas, industrialization"
import,verb,b1,"to bring a product, a service, an idea, etc. into one country from another","import something, The country has to import most of its raw materials.","consequence, signification, significance, implication, meaning","export, inconsequence","support, court, short, report, port","export, tariffs, substitution, quotas, industrialization"
importance,noun,b1,the quality of being important,She stressed the importance of careful preparation.,"grandness, significance, meaningful, importantly, important",unimportance,"sortance, hortense","earnest, fisheries, conservation, maintaining, significance"
important,adjective,a1,having a great effect on people or things; of great value,an important issue/question/point/factor,"all-important, of the essence, cardinal, crucial, significant","insignificant, unimportant, noncrucial","unimportant, fort hunt, sport hunt","aesthetic, aspect, crop, significance, evolution"
impose,verb,b2,"to introduce a new law, rule, tax, etc.; to order that a rule, punishment, etc. be used","impose something, The UN Security Council imposed sanctions in 1992.","enforce, visit, levy, bring down, inflict",,"rose, close, nose, expose, pose","excise, sanctions, fines, stricter, taxes"
impossible,adjective,a2,that cannot exist or be done; not possible,almost/virtually/nearly impossible,"unachievable, unattainable, unrealizable, impracticable, unimaginable",possible,"possible, docible, rosabelle, make possible, as much as possible","predict, distinguish, determine, prove, obtain"
